Lookup ID,Member,Total   Number of GIfts,Total Gifts Amount,Largest Gift Amount,Largest Gift Date,First Gift Amount,First Gift Date,Latest Gift Amount,Lastest Gift Date,Total Pledges
8-10006315,"",3,600,200,11/15/2016,200,11/13/2015,0,11/15/2016,400
8-10011398,8-10001631,3,300,100,10/23/2018,100,10/24/2017,100,10/23/2018,200
8-10011968,"",3,1500,500,10/24/2019,500,10/25/2016,500,10/24/2019,0
8-10012425,"",3,600,250,10/27/2017,100,4/28/2016,250,10/27/2017,0
8-10012632,"",3,2200,1200,10/23/2018,1000,10/25/2017,1000,7/4/2020,5000
8-10013740,"",3,335,250,10/24/2017,50,4/28/2016,250,10/24/2017,250
8-10013754,"",3,300,100,10/24/2019,100,10/30/2017,100,10/24/2019,500
8-10017059,"",3,255,85,12/16/2016,85,10/26/2016,85,12/16/2016,255
8-10019148,"",3,2100,1000,10/24/2019,600,12/21/2016,1000,10/24/2019,5000
8-10019576,"",3,3000,1000,12/30/2019,1000,12/31/2016,1000,12/30/2019,0
8-10021473,8-10002302,3,510,250,10/15/2019,10,7/15/2018,250,10/15/2019,1250
8-10022172,"",3,3000,1000,12/30/2019,1000,4/27/2017,1000,4/24/2020,5000
8-10022463,"",3,150,50,9/19/2019,50,10/25/2017,50,9/19/2019,150
8-10023517,8-10003461,3,150,50,10/23/2018,50,10/24/2017,50,10/23/2018,0
8-10023922,"",3,130,50,7/29/2018,50,7/20/2017,30,8/23/2019,0
8-10025645,"",3,750,250,10/15/2019,250,10/25/2017,250,10/15/2020,1000
8-10025722,"",3,15000,5000,12/11/2019,5000,10/24/2017,5000,12/11/2019,25000
8-10025737,"",3,30000,10000,11/15/2019,10000,10/25/2017,10000,11/15/2019,50000
8-10025940,"",3,300,100,10/26/2018,100,10/25/2017,100,10/15/2020,500
8-10025963,"",3,750,250,9/30/2019,250,10/25/2017,250,8/4/2020,1250
8-10025965,"",3,300,100,12/31/2019,100,10/24/2017,100,12/31/2019,500
8-10026041,"",3,600,200,3/27/2020,200,10/25/2017,200,3/27/2020,1000
8-10026158,"",3,3000,1000,11/6/2019,1000,10/24/2017,1000,4/17/2020,5000
8-10027176,"",3,15000,5000,4/10/2020,5000,10/26/2018,5000,4/10/2020,25000
8-10028879,"",3,6000,2000,3/26/2020,2000,5/10/2018,2000,3/26/2020,10000
8-10028954,"",3,1500,500,3/31/2020,500,5/1/2018,500,3/31/2020,2500
8-10030912,"",3,600,200,3/27/2020,200,5/1/2018,200,3/27/2020,1000
8-10036777,"",3,5000,3000,11/15/2019,1000,11/14/2018,3000,11/15/2019,5000
8-10036849,"",3,3000,1000,12/23/2019,1000,10/23/2018,1000,12/23/2019,5000
995,"",3,600,300,11/13/2015,100,5/7/2013,300,11/13/2015,300
1015,"",2,200,100,5/20/2014,100,5/7/2013,100,5/20/2014,0
1028,"",2,300,200,5/6/2014,100,5/7/2013,200,5/6/2014,0
1046,"",2,300,150,6/1/2015,150,5/7/2013,150,6/1/2015,300
1090,"",2,200,100,5/6/2014,100,5/7/2013,100,5/6/2014,0
1091,"",2,300,200,5/3/2019,100,5/7/2013,200,5/3/2019,0
1099,"",2,300,200,5/7/2013,200,5/7/2013,100,10/24/2017,200
1126,8-10000042,2,100,50,12/22/2014,50,5/7/2013,50,12/22/2014,0
1153,"",2,75,50,5/6/2014,25,5/7/2013,50,5/6/2014,0
1168,"",2,250,200,4/7/2015,50,5/7/2013,200,4/7/2015,50
1194,"",2,300,200,4/29/2014,200,4/29/2014,100,6/19/2015,300
1201,"",2,100,50,5/6/2014,50,5/7/2013,50,5/6/2014,0
1215,"",2,200,100,5/6/2014,100,5/7/2013,100,5/6/2014,0
1226,"",2,100,50,5/6/2014,50,5/7/2013,50,5/6/2014,0
1231,"",2,600,400,10/14/2014,400,10/14/2014,200,12/5/2016,600
1235,"",2,150,100,5/20/2014,100,5/20/2014,50,8/18/2016,150
124,"",2,400,300,3/16/2010,300,3/16/2010,100,5/6/2014,0
1243,"",2,700,500,11/13/2015,200,5/7/2013,500,11/13/2015,0
1265,8-10000027,2,450,250,5/7/2013,250,5/7/2013,200,5/6/2014,0
1274,"",2,300,200,3/10/2015,100,5/6/2014,200,3/10/2015,0
1299,"",2,150,100,9/9/2014,50,5/7/2013,100,9/9/2014,0
13,"",2,1250,1000,6/3/2014,1000,6/3/2014,250,6/9/2015,1250
1302,"",2,375,250,10/25/2016,250,10/25/2016,125,4/27/2017,0
1326,"",2,450,250,5/6/2014,250,5/6/2014,200,11/13/2015,0
1357,"",2,1500,1000,6/3/2014,1000,6/3/2014,500,12/18/2015,1500
1519,"",2,200,100,4/14/2015,100,5/20/2014,100,4/14/2015,0
1584,"",2,500,300,5/6/2014,300,5/6/2014,200,3/10/2015,0
1664,"",2,91.01,55.56,10/9/2014,55.56,10/9/2014,35.45,10/28/2015,0
181,"",2,450,250,5/28/2012,250,5/28/2012,200,5/7/2013,200
1812,"",2,1050,1000,5/6/2014,1000,5/6/2014,50,10/1/2015,0
1815,"",2,70,50,5/6/2014,50,5/6/2014,20,11/22/2016,0
1831,"",2,600,400,5/28/2015,400,5/28/2015,200,6/28/2016,600
1837,"",2,100,50,5/21/2015,50,5/13/2014,50,5/21/2015,0
1846,8-10000521,2,1150,1000,5/6/2014,1000,5/6/2014,150,12/28/2016,0
1856,"",2,500,0,7/11/2017,0,6/21/2016,0,7/11/2017,0
187,"",2,500,250,5/6/2014,250,5/7/2013,250,5/6/2014,0
1909,"",2,3000,2000,5/26/2015,2000,5/26/2015,1000,6/21/2016,3000
1914,"",2,3000,2000,5/21/2015,2000,5/21/2015,1000,6/8/2016,3000
1922,"",2,2000,1000,6/1/2015,1000,5/6/2014,1000,6/1/2015,0
1929,"",2,500,300,4/22/2015,200,5/6/2014,300,4/22/2015,0
1930,"",2,300,250,5/6/2014,250,5/6/2014,50,6/8/2016,0
1941,"",2,1000,0,5/1/2017,0,6/20/2016,0,5/1/2017,0
1970,"",2,200,100,11/13/2015,100,5/6/2014,100,11/13/2015,0
1974,"",2,2000,1000,6/2/2016,1000,5/6/2014,1000,6/2/2016,2000
2048,"",2,200,100,10/25/2016,100,11/13/2015,100,10/25/2016,200
2136,"",2,200,100,5/1/2018,100,4/27/2017,100,5/1/2018,0
2152,"",2,182.02,111.12,10/9/2014,111.12,10/9/2014,70.9,10/28/2015,0
2188,"",2,1075,1000,12/3/2014,1000,12/3/2014,75,12/9/2016,0
2191,8-10002149,2,200,100,11/11/2015,100,12/10/2014,100,11/11/2015,0
2197,"",2,2000,1000,5/3/2019,1000,5/1/2018,1000,5/3/2019,5000
2206,"",2,250,150,10/24/2019,100,4/28/2016,150,10/24/2019,0
2222,"",2,200,100,12/29/2015,100,12/29/2014,100,12/29/2015,0
224,"",2,1100,1000,10/24/2019,100,5/23/2012,1000,10/24/2019,0
2271,"",2,5000,2500,10/28/2015,2500,10/28/2015,2500,10/28/2015,0
2298,"",2,300,200,9/19/2016,100,11/13/2015,200,9/19/2016,300
2314,8-10002189,2,200,100,6/3/2016,100,5/12/2015,100,6/3/2016,0
27,"",2,5500,5000,5/14/2011,5000,5/14/2011,500,10/24/2019,0
287,"",2,4000,3000,9/9/2014,3000,9/9/2014,1000,11/16/2015,4000
297,"",2,400,300,11/13/2015,100,5/23/2012,300,11/13/2015,0
307,"",2,5000,4000,5/28/2015,4000,5/28/2015,1000,6/13/2016,5000
308,"",2,200,100,11/14/2015,100,5/7/2013,100,11/14/2015,0
376,"",2,500,1000,11/7/2017,250,10/22/2016,1000,8/10/2020,0
378,"",2,200,100,5/7/2013,100,5/23/2012,100,5/7/2013,0
388,"",2,200,100,5/7/2013,100,5/23/2012,100,5/7/2013,0
435,"",2,400,300,9/30/2014,300,9/30/2014,100,5/15/2015,400
440,"",2,200,100,4/28/2016,100,5/23/2012,100,4/28/2016,0
455,"",2,400,250,10/25/2019,150,4/22/2014,250,10/25/2019,1400
464,"",2,500,400,5/21/2015,400,5/21/2015,100,6/6/2016,500
469,"",2,200,100,1/19/2016,100,5/23/2012,100,1/19/2016,0
497,"",2,6000,5000,5/19/2015,1000,12/2/2014,5000,5/19/2015,0
511,"",2,75,50,5/6/2014,25,5/7/2013,50,5/6/2014,0
537,"",2,200,100,5/7/2013,100,5/23/2012,100,5/7/2013,0
548,"",2,172.97,145.03,1/19/2017,145.03,1/19/2017,27.94,4/28/2017,0
566,"",2,1500,1000,5/20/2014,1000,5/20/2014,500,6/1/2015,1500
619,"",2,1000,500,5/6/2014,500,5/7/2013,500,5/6/2014,0
63,"",2,1000,900,6/3/2014,900,6/3/2014,100,6/23/2015,1000
645,"",2,200,100,5/6/2014,100,5/7/2013,100,5/6/2014,0
