lookup_id,treatment_assigned,treatment_received,open,open_time,ZIP,Member,Total   Number of GIfts,Total Gifts Amount,Largest Gift Amount,Largest Gift Date,First Gift Amount,First Gift Date,Latest Gift Amount,Lastest Gift Date,Total Pledges,Predicted Affinity for Children's Causes,Predicted Affinity for Educational Causes,Predicted Affinity for Science,Predicted Affinity for Arts & Culture,Predicted Level of Technology Adoption
8-10014991,2,2,0,,20124-2456,8-10001915,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10015259,1,1,0,,20120-3919,8-10001934,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10015262,1,1,0,,20152-5906,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10015354,4,4,1,2020-10-21T00:08:44Z,,,,,,,,,,,,,,,,
8-10015377,4,4,1,2020-10-21T13:28:06Z,20171-2473,8-10001937,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10015422,1,1,0,,98033-5219,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,50,0
8-10015555,2,2,1,2020-10-20T20:42:47Z,22030-6198,8-10001940,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10015572,3,3,0,,20190-6277,"",0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10015575,1,1,0,,14094-6222,8-10001942,0,0.00,0.00,"",0.00,"",0.00,"",0.00,0,0,0,0,0
8-10015596,3,3,1,2020-10-20T20:37:19Z,20151-3372,8-10001943,0,0.00,0.00,"",0.00,"",0.00,"",0.00,35,35,35,42,Apprentice
